keyword,ranked,exact_title,avg_score,min_score,fresh_updated,top_titles
"pet game","10","2","4.37","4.05","0","My Dragon - Virtual Pet Game | Fluvsies - A Fluff to Luv | My Talking Tom 2: Pet Game | My Talking Angela 2 | My Talking Tom | My Tamagotchi Forever | Happy Pet Story: Virtual Pet | My Talking Tom Friends | My Cat - Virtual pet simulator | Old Friends Dog Game"
"virtual pet","10","4","4.31","3.85","0","My Tamagotchi Forever | Bubbu – My Virtual Pet Cat | My Virtual Pet Shop: Animals | Amaru: The Self-Care Pet | My Talking Tom 2: Pet Game | My Talking Tom Friends | Bubbu School - My Virtual Pets | Happy Pet Story: Virtual Pet | My Talking Angela 2 | Pou"
"tamagotchi","10","2","4.41","4.05","0","My Tamagotchi Forever | My Cat - Virtual pet simulator | Flower Girls Tamagotchi Anime | Friends – Raise AI Companions | Axolochi | My Dragon - Virtual Pet Game | Pou | My Talking Angela 2 | My Talking Tom 2: Pet Game | My Talking Tom Friends 2"
"pet care game","10","1","4.08","3.42","0","Cat game - Pet Care & Dress up | My Cat - Virtual pet simulator | Jungle Floof - Island Pet Care | My Virtual Pet Shop: Animals | Dog Escape: Cute Pet Care Life | My Tamagotchi Forever | My virtual pet! Animal care | Fluvsies - A Fluff to Luv | Pet Care Game for 2+ Year Olds | Floof - My Pet House"
"animal shelter game","10","0","4.21","3.28","0","Animal Shelter Pet Rescue Game | Animal Shelter Simulator | Idle Pet Shelter - Cat Rescue | Pet World: My Animal Shelter | My City : Animal Shelter | Pet Shelter Merge & Story | Animal Rescue Tycoon:Pet game | Marmot Shelter | Cat Rescue Story: Pet Game | Pet Rescue Saga"
"zoo game","10","0","4.28","3.63","0","Zoo Life: Animal Park Game Fun | Zoo Island: Wild Family Park | Family Zoo: The Story | Zoo 2: Animal Park | MyFreeZoo Mobile | Zoo Tile - Match Puzzle Game | Zoo Craft: Animal Park Tycoon | Rodeo Stampede: Sky Zoo Safari | Zooba: Fun Battle Royale Games | Zoo Rescue: Match 3 & Animals"
"aquarium game","10","0","4.41","3.60","0","Aquarium Land — Fishbowl World | Fish Paradise - Aquarium Live | Fish Tycoon 2 Virtual Aquarium | Merge Aquarium | Puzzle Aquarium | Splash — Fish Aquarium | Aquarium Crush | Fishdom | Aquarium Farm:Cozy Ocean Story | My Little Aquarium - Free Puzz"
"dinosaur game","10","5","4.11","3.68","0","Jurassic World™: The Game | Jurassic World Play | Dino T-Rex | Dino Quest 2: Dinosaur Games | Dinosaur games for toddlers | Jurassic World Alive | Path of Titans | Dinosaur games for kids age 2 | Dinosaur Games Kids | Dinosaur Games For Toddlers"
"dragon game","10","0","4.53","4.28","0","Dragon City: Mobile Adventure | Hungry Dragon: by Hungry Shark | Dragons: Rise of Berk | Rise of Dragons: War | Dragons: Titan Uprising | Dragon Mania Legends | My Dragon - Virtual Pet Game | Hatch Dragons | Game of Thrones: Dragonfire | Merge Dragons!"
"dress up","10","6","4.12","3.75","0","ZEPETO: Avatar, Connect & Live | Love Nikki-Dress UP Queen | SuitU: Fashion Avatar Dress Up | Shining Nikki-Fashion Makeover | Covet Fashion: Dress Up Game | Everskies: Virtual Dress up | CocoPPa Play Star Girl Fashion | Pocket Styler: Dress Up Game | Rebel Glam: Dress Up Games | Barbie Dreamhouse Adventures"
"family game","10","0","4.40","3.80","0","My Town Home: Family Playhouse | Family Island™ — Farming game | Family Go! - Lifetime Sim game | Match Family: Triple Match 3D | My PlayHome Plus | Pocket Family Dreams: My Home | Dream Family - Match 3 Games | Family Bay: Merge & Farm | Virtual Families 3 | Design Family Life"
"party game","10","1","4.58","4.25","0","Taboo - Official Party Game | Stickman Party 234 MiniGames | Heads Up! | 1 2 3 4 Player Games - Offline | 2 3 4 Player Mini Games | 2 Player games : the Challenge | WePlay - Game and Party | Plato: Fun Multiplayer Games | Play Together: Friends & Party | Wavelength"
"drinking game","10","8","4.44","3.25","0","Do or Drink - Drinking Game | Drinkin' - Drinking games | Drink Roulette – Drink game | Tipsy Drinking Game for Adults | Picolo drinking game | Game of Shots (drinking games) | Drink It! - Drinking Game | Drinky - Party Drinking Game | Drinking Game | La Guatoca: Adult Party Game"
"truth or dare","10","10","4.34","4.07","0","Truth or Dare Game - Party App | Truth Or Dare Pro | Truth or Dare - Dirty & Spicy | Dirty Truth or Dare Game | Truth or Dare - Finger Chooser | Truth Or Dare | Truth or Dare - Party Game | Truth or Dare: Dirty Adults | Truth or Dare - Party Game | Truth or Dare"
"guess game","10","1","4.39","3.58","0","Charades Guess Game — Guessly | Akinator | Heads Up! | Charades & Headbands: Guess Up | Flip-It! Guess the picture! | Charades for Kids - Guess Up | Guess Me - Who I am | Guess The Games | Guess in 10 by Skillmatics | Best Guess Live"
"emoji game","10","0","4.25","3.71","0","Disney Emoji Blitz Game | Emoji Merge: Fun Moji | Match The Emoji: Combine All | Guess The Emoji | Guess The Emoji - Quiz Game | Emoji Puzzle: Guess The Emoji | Emoji Quiz - Guess the Emojis | Emoji Up genmoji sticker maker | Emoji Reveal | Emoji Quiz Master"
